"state","year","income","medicare","medicaid"
"WY",2013,"25-50k",0.235409657939277,0.163828349736367
"WY",2013,"50-75k",0.14045744614163,0.0977483753682847
"WY",2013,"75-100k",0.0858971519317968,0.0597782978456652
"WY",2013,">100k",0.109350523434398,0.0761001734333535
"DC",2013,"<25k",0.399464366772583,0.83161218173565
"DC",2013,"25-50k",0.241747616886064,0.503274584244625
"DC",2013,"50-75k",0.134961416250567,0.280965130194363
"DC",2013,"75-100k",0.0574080798910577,0.119513184500475
"DC",2013,">100k",0.156418520199728,0.325634919324888
"AL",2014,"<25k",3.88428424814268,1.99738029660263
"AL",2014,"25-50k",2.91321462430254,1.49803596200223
"AL",2014,"50-75k",1.44449482937286,0.742789488723266
"AL",2014,"75-100k",0.662950612863373,0.340903087199941
"AL",2014,">100k",0.799055685318549,0.410891165471925
"AK",2014,"<25k",0.157849786046512,0.282734958139535
"AK",2014,"25-50k",0.197827439202658,0.354341517607973
"AK",2014,"50-75k",0.138567755481728,0.248197666445183
"AK",2014,"75-100k",0.0790698259136213,0.141627077740864
"AK",2014,">100k",0.173685193355482,0.311098780066445
"AZ",2014,"<25k",3.69703559783466,2.79564530397936
"AZ",2014,"25-50k",3.44094413991971,2.60199261582875
"AZ",2014,"50-75k",1.82798044951174,1.38229260287261
"AZ",2014,"75-100k",0.917186252036855,0.693563091435491
"AZ",2014,">100k",1.19085356069704,0.900506385883783
"AR",2014,"<25k",2.11780325663237,1.90490849993226
"AR",2014,"25-50k",1.78944675665896,1.60956043780774
"AR",2014,"50-75k",0.865112080187005,0.778145632641441
