"year","r","hh","numhh"
2022,"WA","hh2",0.47064226
2022,"WA","hh3",0.65886059
2022,"WA","hh4",0.65973673
2022,"WA","hh5",0.80091996
2022,"WV","hh1",0.21564947
2022,"WV","hh2",0.17436214
2022,"WV","hh3",0.14952863
2022,"WV","hh4",0.10844089
2022,"WV","hh5",0.08562007
2022,"WI","hh1",0.44907176
2022,"WI","hh2",0.53531868
2022,"WI","hh3",0.57735174
2022,"WI","hh4",0.59283536
2022,"WI","hh5",0.3664299
2022,"WY","hh1",0.04199087
2022,"WY","hh2",0.04715439
2022,"WY","hh3",0.05594102
2022,"WY","hh4",0.05428299
2022,"WY","hh5",0.03661158
