"year","r","hh","source","value"
2016,"AZ","hh1","hpawval",0.342176333993328
2016,"AZ","hh1","hvetval",0.105638047628729
2016,"AZ","hh1","hsurval",0.338078576904176
2016,"AZ","hh1","hdisval",0.210911214096647
2016,"AZ","hh1","hretval",0.0126150632845889
2016,"AZ","hh1","hintval",0.00502022059088739
2016,"AZ","hh1","hdivval",0.0183944673627792
2016,"AZ","hh1","hrntval",0.035671294245438
2016,"AZ","hh1","hedval",0.150153359361881
2016,"AZ","hh1","hcspval",0.126132173385296
2016,"AZ","hh1","hfinval",0.589557426137882
2016,"AZ","hh1","hoival",0
2016,"AZ","hh1","htotval",0.0375538534881153
2016,"AZ","hh2","hwsval",0.0631425390116895
2016,"AZ","hh2","hseval",0.0883137862961391
2016,"AZ","hh2","hfrval",1.78222712791383e-05
2016,"AZ","hh2","hucval",0.183553377423141
2016,"AZ","hh2","hwcval",0
2016,"AZ","hh2","hssval",0.277116393788707
2016,"AZ","hh2","hssival",0.129454664626508
2016,"AZ","hh2","hpawval",0.211113000304841
2016,"AZ","hh2","hvetval",0.274327326451929
2016,"AZ","hh2","hsurval",0.20735652135533
2016,"AZ","hh2","hdisval",0.0499530356126245
2016,"AZ","hh2","hretval",0.0897159574464747
2016,"AZ","hh2","hintval",0.0214236383215639
2016,"AZ","hh2","hdivval",0.0733616509646327
2016,"AZ","hh2","hrntval",0.0151631776014016
2016,"AZ","hh2","hedval",0.119277889976734
2016,"AZ","hh2","hcspval",0.157301236712157
2016,"AZ","hh2","hfinval",0.292346367164529
2016,"AZ","hh2","hoival",0.471891981566481
2016,"AZ","hh2","htotval",0.0860734405799197
2016,"AZ","hh3","hwsval",0.170115493856602
2016,"AZ","hh3","hseval",0.137006175778493
2016,"AZ","hh3","hfrval",0.205763192696628
2016,"AZ","hh3","hucval",0.304869218005632
2016,"AZ","hh3","hwcval",0.0470631383026009
2016,"AZ","hh3","hssval",0.231741340600058
2016,"AZ","hh3","hssival",0.0813202833005597
2016,"AZ","hh3","hpawval",0.446710665701831
2016,"AZ","hh3","hvetval",0.255196112316276
2016,"AZ","hh3","hsurval",0.206741163879033
2016,"AZ","hh3","hdisval",0.213368014084174
2016,"AZ","hh3","hretval",0.212237167301632
2016,"AZ","hh3","hintval",0.0509778234007057
2016,"AZ","hh3","hdivval",0.054286494906385
2016,"AZ","hh3","hrntval",0.113613324896147
2016,"AZ","hh3","hedval",0.202815609811414
2016,"AZ","hh3","hcspval",0.330697946456023
2016,"AZ","hh3","hfinval",0.0103721685100363
2016,"AZ","hh3","hoival",0.48680367556511
2016,"AZ","hh3","htotval",0.171148558514631
2016,"AZ","hh4","hwsval",0.258704693425375
2016,"AZ","hh4","hseval",0.164543574283383
2016,"AZ","hh4","hfrval",0.0895021718995572
2016,"AZ","hh4","hucval",0.262781607008008
2016,"AZ","hh4","hwcval",0.246661882326938
2016,"AZ","hh4","hssval",0.22004233417221
2016,"AZ","hh4","hssival",0.0200041049017318
2016,"AZ","hh4","hpawval",0
2016,"AZ","hh4","hvetval",0.236023565700879
2016,"AZ","hh4","hsurval",0.208364017243415
2016,"AZ","hh4","hdisval",0.372861101527548
2016,"AZ","hh4","hretval",0.357971738891677
2016,"AZ","hh4","hintval",0.164082682949538
2016,"AZ","hh4","hdivval",0.203521707597883
2016,"AZ","hh4","hrntval",0.214132782421736
2016,"AZ","hh4","hedval",0.24435700594887
2016,"AZ","hh4","hcspval",0.159884739466889
2016,"AZ","hh4","hfinval",0.107689240843507
2016,"AZ","hh4","hoival",0.0411081001145473
2016,"AZ","hh4","htotval",0.250742592982482
2016,"AZ","hh5","hwsval",0.491204375170935
2016,"AZ","hh5","hseval",0.571709771837294
2016,"AZ","hh5","hfrval",0.704727361566521
2016,"AZ","hh5","hucval",0.0111013723160885
2016,"AZ","hh5","hwcval",0.706274979370462
2016,"AZ","hh5","hssval",0.12866974293416
2016,"AZ","hh5","hssival",0.0190207819493567
2016,"AZ","hh5","hpawval",0
2016,"AZ","hh5","hvetval",0.128814947902188
2016,"AZ","hh5","hsurval",0.0394597206180465
2016,"AZ","hh5","hdisval",0.152906634679007
2016,"AZ","hh5","hretval",0.327460073075628
2016,"AZ","hh5","hintval",0.758495634737305
2016,"AZ","hh5","hdivval",0.65043567916832
